nrClients,clientIndex,rep,threads,concurrency,overwrite,time,avg,std,tps
2,2,19,1,4,1.0,60,33.0,13.79,116637.0
1,1,20,1,4,1.0,60,36.0,16.8,107240.0
2,1,20,1,4,1.0,60,34.0,12.16,115825.0
2,2,20,1,4,1.0,60,33.0,12.04,118938.0
1,1,21,1,4,1.0,60,34.0,14.94,113839.0
2,1,21,1,4,1.0,60,36.0,44.51,109077.0
2,2,21,1,4,1.0,60,35.0,44.52,110246.0
1,1,22,1,4,1.0,60,35.0,16.15,110551.0
2,1,22,1,4,1.0,60,35.0,13.98,111457.0
2,2,22,1,4,1.0,60,33.0,14.4,116698.0
1,1,23,1,4,1.0,60,36.0,16.61,108056.0
2,1,23,1,4,1.0,60,34.0,13.41,115346.0
2,2,23,1,4,1.0,60,34.0,14.07,114705.0
1,1,24,1,4,1.0,60,34.0,15.26,114154.0
2,1,24,1,4,1.0,60,33.0,14.63,116520.0
2,2,24,1,4,1.0,60,33.0,13.36,118600.0
1,1,25,1,4,1.0,60,33.0,14.15,117404.0
2,1,25,1,4,1.0,60,37.0,13.87,106260.0
2,2,25,1,4,1.0,60,33.0,14.4,116905.0
1,1,1,1,8,1.0,60,67.0,30.97,116721.0
2,1,1,1,8,1.0,60,69.0,36.85,114754.0
2,2,1,1,8,1.0,60,74.0,33.62,105884.0
1,1,2,1,8,1.0,60,70.0,31.33,111896.0
2,1,2,1,8,1.0,60,73.0,38.31,108148.0
2,2,2,1,8,1.0,60,67.0,32.11,116582.0
1,1,3,1,8,1.0,60,64.0,27.02,123159.0
2,1,3,1,8,1.0,60,64.0,25.22,123698.0
2,2,3,1,8,1.0,60,61.0,25.69,128698.0
1,1,4,1,8,1.0,60,66.0,28.27,120010.0
2,1,4,1,8,1.0,60,71.0,39.38,110311.0
2,2,4,1,8,1.0,60,69.0,31.42,114113.0
1,1,5,1,8,1.0,60,64.0,29.56,122777.0
2,1,5,1,8,1.0,60,64.0,30.42,122565.0
2,2,5,1,8,1.0,60,63.0,27.8,124894.0
1,1,6,1,8,1.0,60,64.0,28.02,123103.0
2,1,6,1,8,1.0,60,64.0,25.19,123727.0
2,2,6,1,8,1.0,60,62.0,24.36,127836.0
1,1,7,1,8,1.0,60,65.0,28.38,120524.0
2,1,7,1,8,1.0,60,64.0,28.54,122648.0
2,2,7,1,8,1.0,60,64.0,27.34,123495.0
1,1,8,1,8,1.0,60,67.0,28.75,117932.0
2,1,8,1,8,1.0,60,67.0,33.92,117149.0
2,2,8,1,8,1.0,60,67.0,29.77,118162.0
1,1,9,1,8,1.0,60,67.0,29.54,117744.0
2,1,9,1,8,1.0,60,64.0,26.0,123578.0
2,2,9,1,8,1.0,60,64.0,28.3,123402.0
1,1,10,1,8,1.0,60,69.0,34.13,114541.0
2,1,10,1,8,1.0,60,70.0,35.67,112774.0
2,2,10,1,8,1.0,60,66.0,29.48,119606.0
1,1,11,1,8,1.0,60,65.0,28.13,121441.0
2,1,11,1,8,1.0,60,71.0,38.11,110285.0
2,2,11,1,8,1.0,60,67.0,29.44,117840.0
1,1,12,1,8,1.0,60,63.0,27.98,124478.0
2,1,12,1,8,1.0,60,71.0,38.35,110790.0
2,2,12,1,8,1.0,60,67.0,30.41,118157.0
1,1,13,1,8,1.0,60,68.0,31.64,115008.0
2,1,13,1,8,1.0,60,67.0,34.24,117838.0
2,2,13,1,8,1.0,60,69.0,32.35,113740.0
1,1,14,1,8,1.0,60,66.0,28.71,118872.0
2,1,14,1,8,1.0,60,69.0,36.38,114338.0
2,2,14,1,8,1.0,60,73.0,32.23,108652.0
1,1,15,1,8,1.0,60,68.0,30.93,115625.0
2,1,15,1,8,1.0,60,63.0,27.05,125457.0
2,2,15,1,8,1.0,60,62.0,26.19,126944.0
1,1,16,1,8,1.0,60,64.0,28.47,122376.0
2,1,16,1,8,1.0,60,69.0,36.3,113875.0
2,2,16,1,8,1.0,60,68.0,31.34,115986.0
1,1,17,1,8,1.0,60,68.0,31.25,115198.0
2,1,17,1,8,1.0,60,61.0,26.18,128334.0
2,2,17,1,8,1.0,60,64.0,26.05,123656.0
1,1,18,1,8,1.0,60,67.0,29.63,117552.0
2,1,18,1,8,1.0,60,70.0,39.47,112378.0
